Date;Price
11/17/2023;36,595.4
11/16/2023;36,161.2
11/15/2023;37,874.9
11/14/2023;35,549.3
11/13/2023;36,478.3
11/12/2023;37,064.4
11/11/2023;37,150.5
11/10/2023;37,303.0
11/09/2023;36,700.5
11/08/2023;35,636.9
11/07/2023;35,426.1
11/06/2023;35,042.0
11/05/2023;35,019.4
11/04/2023;35,065.8
11/03/2023;34,718.7
11/02/2023;34,931.4
11/01/2023;35,423.8
10/31/2023;34,650.6
10/30/2023;34,477.9
10/29/2023;34,526.7
10/28/2023;34,082.6
10/27/2023;33,901.8
10/26/2023;34,153.7
10/25/2023;34,496.8
10/24/2023;33,917.0
10/23/2023;33,041.8
10/22/2023;29,984.2
10/21/2023;29,912.9
10/20/2023;29,674.5
10/19/2023;28,723.0
10/18/2023;28,321.7
10/17/2023;28,403.6
10/16/2023;28,509.7
10/15/2023;27,161.2
10/14/2023;26,852.8
10/13/2023;26,863.5
10/12/2023;26,761.1
10/11/2023;26,876.6
10/10/2023;27,391.0
10/09/2023;27,581.4
10/08/2023;27,922.7
10/07/2023;27,961.1
10/06/2023;27,936.9
10/05/2023;27,410.3
10/04/2023;27,790.9
10/03/2023;27,428.4
10/02/2023;27,505.3
10/01/2023;27,974.5
09/30/2023;26,962.7
09/29/2023;26,909.8
09/28/2023;27,022.6
09/27/2023;26,366.1
09/26/2023;26,218.9
09/25/2023;26,302.7
09/24/2023;26,251.5
09/23/2023;26,579.2
09/22/2023;26,581.9
09/21/2023;26,570.0
09/20/2023;27,125.0
09/19/2023;27,209.2
09/18/2023;26,763.5
09/17/2023;26,529.1
09/16/2023;26,562.0
09/15/2023;26,601.0
09/14/2023;26,524.7
09/13/2023;26,223.0
09/12/2023;25,834.5
09/11/2023;25,166.4
09/10/2023;25,840.2
09/09/2023;25,901.1
09/08/2023;25,909.5
09/07/2023;26,249.8
09/06/2023;25,758.0
09/05/2023;25,790.2
09/04/2023;25,823.3
09/03/2023;25,971.0
09/02/2023;25,869.7
09/01/2023;25,803.2
08/31/2023;25,937.3
08/30/2023;27,298.8
08/29/2023;27,723.9
08/28/2023;26,118.9
08/27/2023;26,100.6
08/26/2023;26,017.1
08/25/2023;26,057.2
08/24/2023;26,177.0
08/23/2023;26,436.2
08/22/2023;26,039.9
08/21/2023;26,126.0
08/20/2023;26,190.8
08/19/2023;26,099.4
08/18/2023;26,053.2
08/17/2023;26,635.7
08/16/2023;28,726.3
08/15/2023;29,195.3
08/14/2023;29,426.7
08/13/2023;29,300.1
08/12/2023;29,428.2
08/11/2023;29,420.8
08/10/2023;29,449.0
08/09/2023;29,578.0
08/08/2023;29,777.4
08/07/2023;29,204.2
08/06/2023;29,081.3
08/05/2023;29,068.1
08/04/2023;29,105.5
08/03/2023;29,189.3
08/02/2023;29,173.7
08/01/2023;29,712.2
07/31/2023;29,232.4
07/30/2023;29,281.7
07/29/2023;29,353.5
07/28/2023;29,315.0
07/27/2023;29,222.7
07/26/2023;29,352.2
07/25/2023;29,228.6
07/24/2023;29,178.1
07/23/2023;30,085.9
07/22/2023;29,788.9
07/21/2023;29,903.1
07/20/2023;29,801.0
07/19/2023;29,909.7
07/18/2023;29,866.8
07/17/2023;30,139.7
07/16/2023;30,235.5
07/15/2023;30,291.4
07/14/2023;30,317.4
07/13/2023;31,466.1
07/12/2023;30,387.3
07/11/2023;30,623.3
07/10/2023;30,415.3
07/09/2023;30,166.9
07/08/2023;30,288.8
07/07/2023;30,346.4
07/06/2023;29,913.1
07/05/2023;30,512.8
07/04/2023;30,768.4
07/03/2023;31,151.3
07/02/2023;30,617.7
07/01/2023;30,586.8
06/30/2023;30,472.9
06/29/2023;30,445.7
